"","0.5","0.6","0.7","0.8","0.9"
"C1",100,100,100,100,100
"T4",3.12692377774215,3.01423253639687,2.3525731660547,2.11119212856851,1.96676457795758
"T6",3.06944705887524,2.08514375518297,2.28528645164748,1.92587387587096,1.55309382084455
"T2",2.2798906057424,1.94831576632194,2.17124031859755,1.68758427031702,1.40470909349895
"length",2.11250517506014,1.49949750258526,1.58237503031339,1.38343333007888,1.25353098953754
"C3",0,0,0,0,0
"C5",0,0,0,0,0
"C7",0,0,0,0,0
"PearCoef",0.983114383452282,0.983061526208334,0.988157000990091,0.989453969777778,0.987573956536802
